27, 25.608, 16.37, 17.1, 4.45937
23.8526, 24.2374, 19, 18.81, 1
21.1674, 20.6871, 22, 22.2, 0.909094
19.1543, 19.7494, 25, 23.63, 5.48
17.1156, 16.8754, 29, 29.23, 0.793102
15.3234, 14.8482, 34, 34.92, 2.70588
14.0192, 13.4768, 39, 45.13, 15.718
12.9325, 12.6784, 46, 45.13, 1.8913
11.3033, 11.0169, 67, 70.91, 5.83583
10.1743, 9.92556, 89, 92.82, 4.29213
9.04684, 8.99978, 115, 116.09, 0.947823
