 130.79, 10
 88.38, 11
 40.24, 13
 29.09, 14
 22.06, 15
 14.34, 17
 10.82, 19
 9.27, 20
 7.79, 21
 5.49, 23
 4.11, 25
 3.28, 27
 2.72, 29
