20, 18, 35, 39.53, 12.9429
15, 13, 50, 62.16, 24.32
13, 11, 62, 77.72, 25.3548
10, 9, 87, 99.68, 14.5747
9, 8, 99, 117.92, 19.1111
8, 7, 117, 150.45, 28.5897
6, 5, 190, 243.75, 28.2895
5, 4, 244, 292.7, 19.959
4, 4, 270, 292.7, 8.40741
4, 5, 292, 243.75, 16.524
